Fecha,Capacidad acumulada [MW],FUENTE DE ENERGIA
1/01/1925,1.8,PLANTA HIDRÁULICA
2/01/1925,1.8,PLANTA HIDRÁULICA
3/01/1925,1.8,PLANTA HIDRÁULICA
4/01/1925,1.8,PLANTA HIDRÁULICA
5/01/1925,1.8,PLANTA HIDRÁULICA
6/01/1925,1.8,PLANTA HIDRÁULICA
7/01/1925,1.8,PLANTA HIDRÁULICA
8/01/1925,1.8,PLANTA HIDRÁULICA
9/01/1925,1.8,PLANTA HIDRÁULICA
10/01/1925,1.8,PLANTA HIDRÁULICA
11/01/1925,1.8,PLANTA HIDRÁULICA
12/01/1925,1.8,PLANTA HIDRÁULICA
13/01/1925,1.8,PLANTA HIDRÁULICA
14/01/1925,1.8,PLANTA HIDRÁULICA
15/01/1925,1.8,PLANTA HIDRÁULICA
16/01/1925,1.8,PLANTA HIDRÁULICA
17/01/1925,1.8,PLANTA HIDRÁULICA
18/01/1925,1.8,PLANTA HIDRÁULICA
19/01/1925,1.8,PLANTA HIDRÁULICA
20/01/1925,1.8,PLANTA HIDRÁULICA
21/01/1925,1.8,PLANTA HIDRÁULICA
22/01/1925,1.8,PLANTA HIDRÁULICA
23/01/1925,1.8,PLANTA HIDRÁULICA
24/01/1925,1.8,PLANTA HIDRÁULICA
25/01/1925,1.8,PLANTA HIDRÁULICA
26/01/1925,1.8,PLANTA HIDRÁULICA
27/01/1925,1.8,PLANTA HIDRÁULICA
28/01/1925,1.8,PLANTA HIDRÁULICA
29/01/1925,1.8,PLANTA HIDRÁULICA
30/01/1925,1.8,PLANTA HIDRÁULICA
31/01/1925,1.8,PLANTA HIDRÁULICA
1/02/1925,1.8,PLANTA HIDRÁULICA
2/02/1925,1.8,PLANTA HIDRÁULICA
3/02/1925,1.8,PLANTA HIDRÁULICA
4/02/1925,1.8,PLANTA HIDRÁULICA
5/02/1925,1.8,PLANTA HIDRÁULICA
6/02/1925,1.8,PLANTA HIDRÁULICA
7/02/1925,1.8,PLANTA HIDRÁULICA
8/02/1925,1.8,PLANTA HIDRÁULICA
9/02/1925,1.8,PLANTA HIDRÁULICA
